Zeile, id, Bild, Info, Bewertung1, Bewertung2, Bewertung3, Timestamp
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,KarotteNeu.png,"73% der bisherigen Teilnehmer würden diese Karotte noch essen oder verwerten.",77,100,0,1520730948
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,ApfelAlt.png,"Auf Chefkoch.de gibt es mehr als 4000 einfache Rezepte mit Apfel.",22,0,100,1520730959
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,FruehlingszwiebelAlt.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Lauchzwiebel",0,0,100,1520730968
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,LimetteAlt.png,,0,0,100,1520730997
391,a8mfqnvnvn0l8nouuvkglnd4kb8vb3du,TraubenAlt.png,"72% der bisherigen Teilnehmer würden diese Trauben noch essen oder verwerten.",30,0,100,1520731011
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,BirneNeu.png,"Für 1 kg Birnen, d.h. ca. 5 Birnen, werden 0,29 kg oder 146 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in 6 Stunden. ",100,0,0,1520751461
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,ApfelNeu.png,"Auf Chefkoch.de gibt es mehr als 4000 einfache Rezepte mit Apfel.",61,79,74,1520751506
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,TraubenNeu.png,"64% der bisherigen Teilnehmer würden diese Trauben noch essen oder verwerten.",0,74,0,1520751523
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,BananeAlt.png,,0,80,13,1520751532
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,BirneAlt.png,"Diese Birne hat circa 146 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",0,84,0,1520751542
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,KarotteAlt.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Karotte.",0,72,10,1520751550
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,TraubenAlt.png,"67% der bisherigen Teilnehmer würden diese Trauben noch essen oder verwerten.",0,64,13,1520751559
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,ApfelAlt.png,"Auf Chefkoch.de gibt es mehr als 4000 einfache Rezepte mit Apfel.",87,80,0,1520752441
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,BananeNeu.png,,100,4,0,1520752465
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,FruehlingszwiebelAlt.png,"Für 1 kg Frühlingszwiebel, d.h. ca. 50 Frühlingszwiebeln, werden 0,21 kg oder 106 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 5 Stunden. ",0,72,0,1520752474
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,PaprikaAlt.png,,0,65,5,1520752490
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,PaprikaNeu.png,,100,78,0,1520752498
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,FruehlingszwiebelNeu.png,"Diese Lauchzwiebel hat circa 7 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",0,100,0,1520752506
